Wind speed;Power;Wind direction
1.8;0;246.199997
1.6;0;227.699997
1.7;0;245.800003
1.5;0;259.600006
1.6;0;240.600006
2.1;0;232.600006
1.9;0;217.100006
1.2;0;235.400009
2.1;0;238.699997
1.7;0;229.600006
1.9;0;229.400009
1.3;0;262.899994
1.7;0;257.700012
0.7;0;244.699997
1.9;0;261
0.8;0;255.600006
1.7;0;248.300003
1.9;0;269
1.8;0;254.5
1.7;0;279.899994
1.9;0;241.199997
2.2;0;236.5
1.3;0;222.100006
1;0;323.5
1.8;0;255.100006
0.5;0;238.100006
1;0;225.900009
1.3;0;253.600006
1.5;0;241.300003
0.7;0;251.600006
0.8;0;227.400009
1.4;0;279.300018
0.7;0;276.5
1;0;250.600006
1.3;0;254.300003
1;0;237.600006
0.9;0;272.300018
0.6;0;315.100006
1;0;230.400009
0.7;0;243.100006
0.7;0;234.699997
1;0;244.900009
0.6;0;314
0.3;0;257.700012
0.8;0;251.800003
0.9;0;252
1;0;265.100006
0.6;0;291.200012
1.1;0;285.600006
0.9;0;249.800003
0.6;0;290.600006
1.2;0;271.800018
0.6;0;316
1.4;0;265.899994
0.8;0;248.199997
1.1;0;260.5
0.6;0;251.199997
0.4;0;256.800018
0.3;0;265.600006
0.5;0;226.699997
0;0;301
0;0;258.300018
0;0;325
0.2;0;322.200012
0;0;258.399994
0;0;266.300018
0.6;0;312.700012
0.5;0;299.600006
0.8;0;290.300018
0.6;0;329.899994
0.6;0;315.5
0.7;0;337.600006
0.7;0;300.5
0.4;0;309.200012
1;0;305.200012
0.9;0;269.899994
0.7;0;307.899994
0.4;0;302.100006
0.5;0;313.300018
0.8;0;315.300018
0.5;0;306.600006
0.6;0;294.200012
0.2;0;307.800018
0;0;301.200012
0;0;255
0;0;225.400009
0;0;203.100006
0.1;0;195.900009
0.2;0;163.600006
0.8;0;163.5
0.9;0;176
0.7;0;166.100006
0.6;0;157.900009
0.7;0;143.400009
1.1;0;164.5
0.9;0;157.300003
0.9;0;164.5
1;0;157.199997
0.6;0;153.900009
0.7;0;161.900009
0.7;0;165.5
0.8;0;142.900009
0.5;0;138.5
0.9;0;121.599998
0.7;0;121.5
0.6;0;117.800003
0.5;0;88
0.6;0;98.400002
0.5;0;104.800003
0.6;0;117.599998
0.5;0;115.099998
0.4;0;117.400002
0.2;0;133.699997
0;0;121.5
0;0;19.300001
0;0;20.300001
0.1;0;310.200012
0;0;287.5
0;0;306.600006
0.1;0;314
0.3;0;332.100006
0.1;0;328.200012
0.1;0;281.600006
0.5;0;266.800018
0.8;0;255.100006
1;0;266
0.9;0;256.399994
1.1;0;281.200012
1.1;0;264.200012
1.2;0;256.200012
0.8;0;249.199997
0.7;0;240.800003
1.5;0;247.5
1.1;0;240.600006
1;0;251.400009
1.6;0;255
0.8;0;240.5
1.1;0;250.900009
0.9;0;244.300003
1.2;0;254.300003
1.5;0;252.5
1.3;0;272.600006
1.3;0;230
2.1;0;273.399994
1.3;0;247.600006
2.1;0;245
2.2;0;253.300003
1;0;256.899994
1.5;0;248.300003
1.3;0;259.399994
1.5;0;257
2;0;251.600006
2.1;0;246.800003
1.3;0;245.199997
1;0;231.400009
0.9;0;258.200012
0.9;0;252.199997
0.8;0;286.600006
1.5;0;275.800018
1.2;0;266
1.6;0;316.600006
1.1;0;321.200012
1.1;0;260.899994
1.3;0;333.200012
1.1;0;326.600006
1;0;312.700012
0.5;0;296.899994
0.4;0;277.899994
0.8;0;249.800003
0.7;0;239.300003
1.5;0;246.900009
0.7;0;257.600006
0.8;0;203.699997
0.6;0;239.400009
0.5;0;209.800003
0.9;0;206.699997
0.9;0;221.400009
1.3;0;211.5
1;0;207.800003
1.1;0;216.800003
1.2;0;226.600006
1.1;0;211.900009
0.8;0;229.400009
0.8;0;231.199997
0.8;0;265
0;0;278.200012
0.1;0;279.100006
0.2;0;267.800018
0;0;261.200012
0.3;0;291.100006
0.2;0;293.300018
0.4;0;266.399994
1.2;0;260.899994
1.7;0;251.400009
1.7;0;257.800018
1.1;0;275
0.9;0;305.399994
1.3;0;260.5
0.8;0;264.800018
0.7;0;296.200012
1.7;0;270.399994
1.5;0;263.600006
1.5;0;265.200012
1.2;0;294
1.4;0;265.5
1;0;301.200012
1.5;0;273.700012
1.4;0;305.399994
1.6;0;309.5
1.3;0;305.100006
1.5;0;253.400009
1.5;0;308
1.6;0;278.5
1.2;0;271
1.7;0;311.5
1.1;0;277.700012
1.2;0;312.100006
0.9;0;309.899994
0.8;0;300.300018
1.3;0;300.700012
1;0;317
0.8;0;305.100006
1;0;258.899994
0.5;0;334.600006
0.6;0;259.800018
0.5;0;284.5
0.2;0;258.200012
0.3;0;240.800003
0.6;0;235.100006
0.1;0;289.800018
0.5;0;294.5
0.9;0;338.700012
0.4;0;300.899994
0.8;0;322
0.6;0;313.700012
0.4;0;284.399994
0.6;0;302
0.8;0;329.899994
0.7;0;258.5
1.2;0;275.200012
1.1;0;259.300018
1.2;0;263.5
0.6;0;231
0.4;0;284.600006
0.9;0;264.700012
1;0;266.600006
0.6;0;269.700012
0.4;0;243.699997
0.4;0;245.199997
0.5;0;273
0.5;0;261.200012
0.6;0;274.399994
0.5;0;270.399994
1;0;269.399994
0.7;0;270.100006
0.5;0;286
0.4;0;276.700012
0.2;0;293.300018
0.2;0;304.800018
0.2;0;313.300018
0.4;0;311.5
0.9;0;304.300018
0.6;0;298
0.7;0;282.600006
1;0;280.200012
1.2;0;262.200012
0.6;0;269.100006
1.4;0;257.399994
0.7;0;261.300018
0.3;0;252.100006
0.4;0;244.300003
0.3;0;238.400009
0;0;233.600006
0;0;233.100006
0;0;233.100006
0;0;233.300003
0;0;233.699997
0;0;234
0;0;257
0;0;248.699997
0;0;250.100006
0;0;296.100006
0;0;304.100006
0;0;303.399994
0;0;298.399994
0;0;311.800018
0;0;315.600006
0.3;0;345.800018
0.2;0;346.5
0.3;0;354.700012
0.3;0;14.900001
0.3;0;21.700001
0.3;0;21.300001
0.4;0;14.900001
0.6;0;23.800001
0.6;0;23.300001
0.6;0;19.9
0.6;0;12.7
0.7;0;9.1
0.5;0;345.700012
0.4;0;339.899994
0.3;0;334
0.3;0;334
0.4;0;333.399994
0.4;0;323.700012
0.5;0;323.5
0.6;0;325.300018
0.7;0;332.800018
0.6;0;334.399994
0.7;0;339.800018
0.6;0;348.399994
0.5;0;349.700012
0.5;0;357.600006
0.5;0;345.800018
0.6;0;337.300018
0.5;0;334
0.5;0;343.700012
0.6;0;337.899994
0.7;0;330.399994
0.8;0;339.600006
0.9;0;329.5
0.9;0;327.200012
1;0;325.399994
1;0;331.200012
1;0;310.399994
1.1;0;320.600006
1.2;0;321.200012
0.9;0;313.899994
0.8;0;310
0.8;0;318.600006
0.9;0;317.700012
0.8;0;313.600006
0.8;0;318
0.8;0;315.600006
1;0;322.5
1;0;324
1;0;328.5
1;0;325.700012
0.8;0;324.399994
1;0;329
0.8;0;325.700012
0.8;0;337.600006
0.9;0;331.200012
0.7;0;323.899994
0.9;0;318.600006
0.8;0;316.5
0.9;0;308.399994
0.9;0;312.899994
0.7;0;304.700012
0.8;0;303.899994
0.6;0;308
0.8;0;301.100006
1;0;303
0.7;0;301.899994
0.7;0;310.300018
0.9;0;311.200012
0.7;0;314.800018
0.8;0;316.200012
0.7;0;319.300018
0.6;0;314
0.5;0;303.399994
0.5;0;281.700012
0.4;0;295.399994
0.5;0;267.399994
0.5;0;256.399994
0.2;0;258.300018
0.1;0;263.5
0.1;0;253.199997
0;0;253.400009
0;0;253.100006
0;0;253.300003
0;0;253.5
0;0;253.5
0;0;253.5
0.1;0;309.899994
0.2;0;264.100006
0;0;253.900009
0.1;0;253.400009
0.1;0;253.199997
0.3;0;247.800003
0.3;0;248.400009
0.3;0;242.400009
0.2;0;256.700012
0.5;0;296
0.7;0;318.300018
0.7;0;331.5
0.8;0;337.600006
0.8;0;338
0.9;0;336.800018
0.8;0;347.899994
0.7;0;357.200012
0.7;0;357.899994
0.8;0;354.100006
0.5;0;27.800001
0.6;0;14.2
0.6;0;10.5
0.4;0;5.1
0.1;0;341.399994
0.4;0;359.899994
0.6;0;13.3
0.5;0;353.5
0.4;0;350.200012
0.3;0;358
0.3;0;351.200012
0;0;333.800018
0;0;336.100006
0;0;330.399994
0.1;0;331.100006
0;0;329.899994
0;0;329.700012
0;0;329.700012
0.2;0;303.800018
0;0;203.800003
0;0;218
0;0;216.699997
0;0;209.800003
0;0;236.300003
0;0;232.900009
0;0;219.100006
0;0;94.900002
0.3;0;359.899994
0;0;153.199997
0;0;180.800003
0.3;0;154.900009
0.5;0;92.800003
0.5;0;82.900002
0;0;67.5
0;0;64.200005
0.3;0;49.299999
0.1;0;26.200001
0.3;0;26.5
0.1;0;4.5
0.5;0;24.1
0.3;0;41.299999
0.5;0;15.8
0.5;0;18.5
0.8;0;10.6
0.2;0;1
0.5;0;336.5
0.6;0;321.600006
0.8;0;315.5
1.2;0;325
1.3;0;324.800018
0.9;0;277.300018
0.6;0;308.800018
1.3;0;317.5
1.1;0;326.899994
0.9;0;321.100006
1.2;0;324.5
0.9;0;324.899994
0.5;0;308.200012
0.4;0;316.700012
0.2;0;296.5
0.1;0;257.300018
0;0;260.100006
0;0;269.899994
0;0;296.700012
0;0;269.300018
0;0;257.700012
0;0;270.100006
0;0;18.5
0;0;335.200012
0;0;4.2
0;0;339.100006
0;0;195.5
0;0;205.600006
0;0;204.900009
0;0;202.400009
0;0;201.300003
0.2;0;185.400009
0.3;0;176.300003
0.1;0;151.199997
0.1;0;155.800003
0;0;149.100006
0;0;180.900009
0;0;207.300003
0;0;220.699997
0.1;0;208.199997
0.1;0;199.100006
0.1;0;182.300003
0.1;0;37.200001
0;0;57.900002
0.1;0;244
0;0;241.400009
0;0;218.5
0.2;0;177.5
0.1;0;195.900009
0.5;0;189.300003
0.6;0;207.699997
0.6;0;173.199997
0.6;0;194.5
0.5;0;192.900009
0.6;0;126.099998
0.6;0;170.199997
0.6;0;166.199997
0.4;0;175.5
0.6;0;178.5
0.2;0;151.100006
0.6;0;145.199997
0.5;0;96.400002
0.3;0;128.900009
0.2;0;79.300003
0.7;0;71.300003
0.8;0;89.400002
0.8;0;90.5
0.6;0;85.900002
0.6;0;93.700005
0.5;0;114.700005
0.6;0;100.200005
0.6;0;83.800003
0.7;0;152.100006
0.8;0;117.700005
0.4;0;99.099998
0.7;0;153.400009
0.7;0;175.800003
0.8;0;82.599998
0.3;0;98.700005
0.5;0;155.600006
0.2;0;111.099998
0.3;0;89.900002
0.4;0;167.600006
0.6;0;154.900009
0.9;0;111.300003
